Initial dataset: DatasetDict({
    train: Dataset({
        features: ['text', 'labels'],
        num_rows: 4508785
    })
    validation: Dataset({
        features: ['text', 'labels'],
        num_rows: 3000
    })
    test: Dataset({
        features: ['text', 'labels'],
        num_rows: 3003
    })
})
Sample before tokenization: {'text': 'Resumption of the session', 'labels': 'Wiederaufnahme der Sitzungsperiode'}
{'loss': 9.7622, 'grad_norm': 43.38770294189453, 'learning_rate': 4.9929027679205115e-05, 'epoch': 0.0}
{'loss': 0.4569, 'grad_norm': 0.07184486091136932, 'learning_rate': 4.744499645138396e-05, 'epoch': 0.05}
{'loss': 0.4731, 'grad_norm': 0.06698691844940186, 'learning_rate': 4.737402413058907e-05, 'epoch': 0.05}
{'loss': 0.4552, 'grad_norm': 0.0677340179681778, 'learning_rate': 4.730305180979418e-05, 'epoch': 0.05}
{'loss': 0.472, 'grad_norm': 0.047655731439590454, 'learning_rate': 4.723207948899929e-05, 'epoch': 0.06}
{'loss': 0.4799, 'grad_norm': 0.06907975673675537, 'learning_rate': 4.71611071682044e-05, 'epoch': 0.06}
{'loss': 0.4461, 'grad_norm': 0.06984345614910126, 'learning_rate': 4.709013484740951e-05, 'epoch': 0.06}
{'loss': 0.4735, 'grad_norm': 0.07247740775346756, 'learning_rate': 4.701916252661462e-05, 'epoch': 0.06}
{'loss': 0.4503, 'grad_norm': 0.05813121795654297, 'learning_rate': 4.694819020581973e-05, 'epoch': 0.06}
{'loss': 0.4621, 'grad_norm': 0.06613492220640182, 'learning_rate': 4.687721788502484e-05, 'epoch': 0.06}
{'loss': 0.4504, 'grad_norm': 0.06293009966611862, 'learning_rate': 4.680624556422995e-05, 'epoch': 0.06}
{'loss': 0.4629, 'grad_norm': 0.05258648842573166, 'learning_rate': 4.6735273243435066e-05, 'epoch': 0.07}
{'loss': 0.4769, 'grad_norm': 0.052821408957242966, 'learning_rate': 4.666430092264017e-05, 'epoch': 0.07}
{'loss': 0.4586, 'grad_norm': 0.05746937915682793, 'learning_rate': 4.6593328601845284e-05, 'epoch': 0.07}
{'loss': 0.4935, 'grad_norm': 0.06699831783771515, 'learning_rate': 4.65223562810504e-05, 'epoch': 0.07}
{'loss': 0.4506, 'grad_norm': 0.054002489894628525, 'learning_rate': 4.64513839602555e-05, 'epoch': 0.07}
{'loss': 0.4801, 'grad_norm': 0.06649302691221237, 'learning_rate': 4.6380411639460616e-05, 'epoch': 0.07}
{'loss': 0.4457, 'grad_norm': 0.05863603949546814, 'learning_rate': 4.630943931866572e-05, 'epoch': 0.07}
{'loss': 0.4722, 'grad_norm': 0.06293044239282608, 'learning_rate': 4.6238466997870835e-05, 'epoch': 0.08}
{'loss': 0.4596, 'grad_norm': 0.050539132207632065, 'learning_rate': 4.616749467707595e-05, 'epoch': 0.08}
{'loss': 0.4783, 'grad_norm': 0.054504506289958954, 'learning_rate': 4.609652235628105e-05, 'epoch': 0.08}
{'loss': 0.4857, 'grad_norm': 0.061567388474941254, 'learning_rate': 4.6025550035486166e-05, 'epoch': 0.08}
{'loss': 0.4729, 'grad_norm': 0.061974868178367615, 'learning_rate': 4.595457771469127e-05, 'epoch': 0.08}
{'loss': 0.4768, 'grad_norm': 0.0686846375465393, 'learning_rate': 4.5883605393896385e-05, 'epoch': 0.08}
{'loss': 0.45, 'grad_norm': 0.0480349063873291, 'learning_rate': 4.581263307310149e-05, 'epoch': 0.08}
{'loss': 0.4969, 'grad_norm': 0.07021640241146088, 'learning_rate': 4.57416607523066e-05, 'epoch': 0.09}
{'loss': 0.4336, 'grad_norm': 0.05842120945453644, 'learning_rate': 4.567068843151171e-05, 'epoch': 0.09}
{'loss': 0.452, 'grad_norm': 0.056500669568777084, 'learning_rate': 4.559971611071682e-05, 'epoch': 0.09}
{'loss': 0.4594, 'grad_norm': 0.06452959030866623, 'learning_rate': 4.5528743789921935e-05, 'epoch': 0.09}
{'loss': 0.4672, 'grad_norm': 0.06271910667419434, 'learning_rate': 4.545777146912704e-05, 'epoch': 0.09}
{'loss': 0.4619, 'grad_norm': 0.05440552532672882, 'learning_rate': 4.538679914833215e-05, 'epoch': 0.09}
{'loss': 0.4902, 'grad_norm': 0.05868987739086151, 'learning_rate': 4.531582682753726e-05, 'epoch': 0.09}
{'loss': 0.4541, 'grad_norm': 0.05656193196773529, 'learning_rate': 4.524485450674237e-05, 'epoch': 0.1}
{'loss': 0.4427, 'grad_norm': 0.057907216250896454, 'learning_rate': 4.517388218594748e-05, 'epoch': 0.1}
{'loss': 0.4607, 'grad_norm': 0.0791407898068428, 'learning_rate': 4.510290986515259e-05, 'epoch': 0.1}
{'loss': 0.4399, 'grad_norm': 0.06134605407714844, 'learning_rate': 4.5031937544357703e-05, 'epoch': 0.1}
{'eval_loss': 0.6150805950164795, 'eval_sacrebleu_score': 2.777766037535169, 'eval_sacrebleu_counts': [11526, 6044, 3554, 2171], 'eval_sacrebleu_totals': [19826, 19232, 18639, 18046], 'eval_sacrebleu_precisions': [58.13578129728639, 31.426788685524127, 19.06754654219647, 12.030366840297019], 'eval_sacrebleu_bp': 0.1091732810494571, 'eval_sacrebleu_sys_len': 19826, 'eval_sacrebleu_ref_len': 63737, 'eval_rouge_rouge1': 0.10664962218949739, 'eval_rouge_rouge2': 0.058377260167019066, 'eval_rouge_rougeL': 0.09642164419660224, 'eval_rouge_rougeLsum': 0.09606607450931592, 'eval_meteor_meteor': 0.10184519620780576, 'eval_runtime': 137.0834, 'eval_samples_per_second': 21.884, 'eval_steps_per_second': 1.371, 'epoch': 0.1}
{'loss': 0.463, 'grad_norm': 0.070160873234272, 'learning_rate': 4.496096522356281e-05, 'epoch': 0.1}
{'loss': 0.4527, 'grad_norm': 0.05702079460024834, 'learning_rate': 4.488999290276792e-05, 'epoch': 0.1}
{'loss': 0.471, 'grad_norm': 0.06124323233962059, 'learning_rate': 4.481902058197303e-05, 'epoch': 0.1}
{'loss': 0.4623, 'grad_norm': 0.07159629464149475, 'learning_rate': 4.474804826117814e-05, 'epoch': 0.11}
{'loss': 0.4764, 'grad_norm': 0.06369869410991669, 'learning_rate': 4.4677075940383254e-05, 'epoch': 0.11}
{'loss': 0.4808, 'grad_norm': 0.04999244213104248, 'learning_rate': 4.4606103619588366e-05, 'epoch': 0.11}
{'loss': 0.4971, 'grad_norm': 0.06923997402191162, 'learning_rate': 4.453513129879347e-05, 'epoch': 0.11}
{'loss': 0.4185, 'grad_norm': 0.04967270791530609, 'learning_rate': 4.4464158977998585e-05, 'epoch': 0.11}
{'loss': 0.4709, 'grad_norm': 0.06408145278692245, 'learning_rate': 4.43931866572037e-05, 'epoch': 0.11}
{'loss': 0.4437, 'grad_norm': 0.0575886107981205, 'learning_rate': 4.4322214336408804e-05, 'epoch': 0.11}
{'loss': 0.4601, 'grad_norm': 0.04825373739004135, 'learning_rate': 4.4251242015613916e-05, 'epoch': 0.11}
{'loss': 0.4501, 'grad_norm': 0.0609951987862587, 'learning_rate': 4.418026969481902e-05, 'epoch': 0.12}
{'loss': 0.482, 'grad_norm': 0.062438469380140305, 'learning_rate': 4.4109297374024135e-05, 'epoch': 0.12}
{'loss': 0.422, 'grad_norm': 0.09706996381282806, 'learning_rate': 4.403832505322924e-05, 'epoch': 0.12}
{'loss': 0.4751, 'grad_norm': 0.05522880330681801, 'learning_rate': 4.3967352732434354e-05, 'epoch': 0.12}
{'loss': 0.4677, 'grad_norm': 0.05780629813671112, 'learning_rate': 4.3896380411639466e-05, 'epoch': 0.12}
{'loss': 0.4426, 'grad_norm': 0.05727003514766693, 'learning_rate': 4.382540809084457e-05, 'epoch': 0.12}
{'loss': 0.4623, 'grad_norm': 0.05697622150182724, 'learning_rate': 4.3754435770049685e-05, 'epoch': 0.12}
{'loss': 0.4437, 'grad_norm': 0.05062778294086456, 'learning_rate': 4.368346344925479e-05, 'epoch': 0.13}
{'loss': 0.4577, 'grad_norm': 0.054994627833366394, 'learning_rate': 4.3612491128459904e-05, 'epoch': 0.13}
{'loss': 0.4789, 'grad_norm': 0.06515811383724213, 'learning_rate': 4.354151880766501e-05, 'epoch': 0.13}
{'loss': 0.4747, 'grad_norm': 0.06221090629696846, 'learning_rate': 4.347054648687012e-05, 'epoch': 0.13}
{'loss': 0.4965, 'grad_norm': 0.057060085237026215, 'learning_rate': 4.3399574166075235e-05, 'epoch': 0.13}
{'loss': 0.4791, 'grad_norm': 0.056937627494335175, 'learning_rate': 4.332860184528034e-05, 'epoch': 0.13}
{'loss': 0.4719, 'grad_norm': 0.13132838904857635, 'learning_rate': 4.3257629524485454e-05, 'epoch': 0.13}
{'loss': 0.4487, 'grad_norm': 0.05533755570650101, 'learning_rate': 4.318665720369056e-05, 'epoch': 0.14}
{'loss': 0.4599, 'grad_norm': 0.05853640288114548, 'learning_rate': 4.311568488289567e-05, 'epoch': 0.14}
{'loss': 0.4264, 'grad_norm': 0.054201580584049225, 'learning_rate': 4.304471256210078e-05, 'epoch': 0.14}
{'loss': 0.474, 'grad_norm': 0.05803220719099045, 'learning_rate': 4.297374024130589e-05, 'epoch': 0.14}
{'loss': 0.4601, 'grad_norm': 0.05910562723875046, 'learning_rate': 4.2902767920511e-05, 'epoch': 0.14}
{'loss': 0.4585, 'grad_norm': 0.051061734557151794, 'learning_rate': 4.283179559971611e-05, 'epoch': 0.14}
{'loss': 0.4511, 'grad_norm': 0.04708525165915489, 'learning_rate': 4.276082327892122e-05, 'epoch': 0.14}
{'loss': 0.4296, 'grad_norm': 0.05118091404438019, 'learning_rate': 4.268985095812633e-05, 'epoch': 0.15}
{'loss': 0.4862, 'grad_norm': 0.05350630730390549, 'learning_rate': 4.261887863733144e-05, 'epoch': 0.15}
{'loss': 0.4663, 'grad_norm': 0.06712909787893295, 'learning_rate': 4.2547906316536554e-05, 'epoch': 0.15}
{'loss': 0.43, 'grad_norm': 0.062412235885858536, 'learning_rate': 4.247693399574167e-05, 'epoch': 0.15}
{'loss': 0.4423, 'grad_norm': 0.06252606958150864, 'learning_rate': 4.240596167494677e-05, 'epoch': 0.15}
{'loss': 0.4536, 'grad_norm': 0.05506547912955284, 'learning_rate': 4.2334989354151885e-05, 'epoch': 0.15}
{'loss': 0.4582, 'grad_norm': 0.0628884881734848, 'learning_rate': 4.2264017033357e-05, 'epoch': 0.15}
{'loss': 0.4554, 'grad_norm': 0.06173475831747055, 'learning_rate': 4.2193044712562104e-05, 'epoch': 0.16}
{'loss': 0.4642, 'grad_norm': 0.05764145031571388, 'learning_rate': 4.212207239176722e-05, 'epoch': 0.16}
{'loss': 0.46, 'grad_norm': 0.06058107689023018, 'learning_rate': 4.205110007097232e-05, 'epoch': 0.16}
{'loss': 0.4743, 'grad_norm': 0.05915364995598793, 'learning_rate': 4.1980127750177435e-05, 'epoch': 0.16}
{'loss': 0.4552, 'grad_norm': 0.05737965553998947, 'learning_rate': 4.190915542938254e-05, 'epoch': 0.16}
{'loss': 0.4778, 'grad_norm': 0.06604397296905518, 'learning_rate': 4.1838183108587654e-05, 'epoch': 0.16}
{'loss': 0.4529, 'grad_norm': 0.06554911285638809, 'learning_rate': 4.176721078779277e-05, 'epoch': 0.16}
{'loss': 0.4591, 'grad_norm': 0.05653011053800583, 'learning_rate': 4.169623846699787e-05, 'epoch': 0.17}
{'loss': 0.4409, 'grad_norm': 0.04330376163125038, 'learning_rate': 4.1625266146202986e-05, 'epoch': 0.17}
{'loss': 0.4444, 'grad_norm': 0.04658200591802597, 'learning_rate': 4.155429382540809e-05, 'epoch': 0.17}
{'loss': 0.4397, 'grad_norm': 0.0638546347618103, 'learning_rate': 4.1483321504613204e-05, 'epoch': 0.17}
{'loss': 0.4777, 'grad_norm': 0.052621304988861084, 'learning_rate': 4.141234918381831e-05, 'epoch': 0.17}
{'loss': 0.4638, 'grad_norm': 0.057428836822509766, 'learning_rate': 4.134137686302342e-05, 'epoch': 0.17}
{'loss': 0.464, 'grad_norm': 0.0664304867386818, 'learning_rate': 4.127040454222853e-05, 'epoch': 0.17}
{'loss': 0.4612, 'grad_norm': 0.05432960391044617, 'learning_rate': 4.119943222143364e-05, 'epoch': 0.18}
{'loss': 0.4491, 'grad_norm': 0.057103145867586136, 'learning_rate': 4.1128459900638754e-05, 'epoch': 0.18}
{'loss': 0.4636, 'grad_norm': 0.05482310429215431, 'learning_rate': 4.105748757984386e-05, 'epoch': 0.18}
{'loss': 0.4689, 'grad_norm': 0.0606987439095974, 'learning_rate': 4.098651525904897e-05, 'epoch': 0.18}
{'loss': 0.4347, 'grad_norm': 0.06939031928777695, 'learning_rate': 4.091554293825408e-05, 'epoch': 0.18}
{'loss': 0.4655, 'grad_norm': 0.06623353809118271, 'learning_rate': 4.084457061745919e-05, 'epoch': 0.18}
{'loss': 0.4602, 'grad_norm': 0.05344311147928238, 'learning_rate': 4.07735982966643e-05, 'epoch': 0.18}
{'loss': 0.4411, 'grad_norm': 0.0582582987844944, 'learning_rate': 4.070262597586941e-05, 'epoch': 0.19}
{'loss': 0.4692, 'grad_norm': 0.06716081500053406, 'learning_rate': 4.063165365507452e-05, 'epoch': 0.19}
{'loss': 0.4492, 'grad_norm': 0.05456775054335594, 'learning_rate': 4.056068133427963e-05, 'epoch': 0.19}
{'loss': 0.456, 'grad_norm': 0.043902941048145294, 'learning_rate': 4.048970901348474e-05, 'epoch': 0.19}
{'loss': 0.434, 'grad_norm': 0.06488512456417084, 'learning_rate': 4.0418736692689854e-05, 'epoch': 0.19}
{'loss': 0.4753, 'grad_norm': 0.06964603811502457, 'learning_rate': 4.034776437189497e-05, 'epoch': 0.19}
{'loss': 0.4401, 'grad_norm': 0.05487971380352974, 'learning_rate': 4.027679205110007e-05, 'epoch': 0.19}
{'loss': 0.4552, 'grad_norm': 0.06524702161550522, 'learning_rate': 4.0205819730305186e-05, 'epoch': 0.2}
{'loss': 0.4642, 'grad_norm': 0.05303807929158211, 'learning_rate': 4.01348474095103e-05, 'epoch': 0.2}
{'loss': 0.458, 'grad_norm': 0.06759767234325409, 'learning_rate': 4.0063875088715405e-05, 'epoch': 0.2}
{'loss': 0.4806, 'grad_norm': 0.054446689784526825, 'learning_rate': 3.999290276792052e-05, 'epoch': 0.2}
{'eval_loss': 0.6190484762191772, 'eval_sacrebleu_score': 5.054430968262469, 'eval_sacrebleu_counts': [14117, 7407, 4364, 2668], 'eval_sacrebleu_totals': [24329, 23542, 22756, 21970], 'eval_sacrebleu_precisions': [58.02540178387932, 31.462917339223516, 19.17735981719107, 12.143832498862084], 'eval_sacrebleu_bp': 0.19793921190349695, 'eval_sacrebleu_sys_len': 24329, 'eval_sacrebleu_ref_len': 63737, 'eval_rouge_rouge1': 0.1420709877872309, 'eval_rouge_rouge2': 0.07823147787189108, 'eval_rouge_rougeL': 0.12875638680010015, 'eval_rouge_rougeLsum': 0.12867584618248273, 'eval_meteor_meteor': 0.13561831364273597, 'eval_runtime': 134.4922, 'eval_samples_per_second': 22.306, 'eval_steps_per_second': 1.398, 'epoch': 0.2}
{'loss': 0.4501, 'grad_norm': 0.05296476557850838, 'learning_rate': 3.992193044712562e-05, 'epoch': 0.2}
{'loss': 0.427, 'grad_norm': 0.0671624019742012, 'learning_rate': 3.9850958126330736e-05, 'epoch': 0.2}
{'loss': 0.4506, 'grad_norm': 0.06266804784536362, 'learning_rate': 3.977998580553584e-05, 'epoch': 0.2}
{'loss': 0.453, 'grad_norm': 0.0704462006688118, 'learning_rate': 3.9709013484740955e-05, 'epoch': 0.21}
{'loss': 0.4464, 'grad_norm': 0.0572664812207222, 'learning_rate': 3.963804116394606e-05, 'epoch': 0.21}
{'loss': 0.4613, 'grad_norm': 0.05198265612125397, 'learning_rate': 3.956706884315117e-05, 'epoch': 0.21}
{'loss': 0.4779, 'grad_norm': 0.1637115478515625, 'learning_rate': 3.9496096522356286e-05, 'epoch': 0.21}
{'loss': 0.475, 'grad_norm': 0.10668496787548065, 'learning_rate': 3.942512420156139e-05, 'epoch': 0.21}
{'loss': 0.4537, 'grad_norm': 0.061469145119190216, 'learning_rate': 3.9354151880766505e-05, 'epoch': 0.21}
{'loss': 0.4496, 'grad_norm': 0.057482536882162094, 'learning_rate': 3.928317955997161e-05, 'epoch': 0.21}
{'loss': 0.4461, 'grad_norm': 0.0710696280002594, 'learning_rate': 3.921220723917672e-05, 'epoch': 0.22}
{'loss': 0.4482, 'grad_norm': 0.04904380440711975, 'learning_rate': 3.914123491838183e-05, 'epoch': 0.22}
{'loss': 0.4588, 'grad_norm': 0.05478200316429138, 'learning_rate': 3.907026259758694e-05, 'epoch': 0.22}
{'loss': 0.4718, 'grad_norm': 0.05712917447090149, 'learning_rate': 3.8999290276792055e-05, 'epoch': 0.22}
{'loss': 0.4645, 'grad_norm': 0.0640261247754097, 'learning_rate': 3.892831795599716e-05, 'epoch': 0.22}
{'loss': 0.4072, 'grad_norm': 0.05916643142700195, 'learning_rate': 3.8857345635202273e-05, 'epoch': 0.22}
{'loss': 0.4435, 'grad_norm': 0.05792558565735817, 'learning_rate': 3.878637331440738e-05, 'epoch': 0.22}
{'loss': 0.4428, 'grad_norm': 0.05309069901704788, 'learning_rate': 3.871540099361249e-05, 'epoch': 0.23}
{'loss': 0.463, 'grad_norm': 0.06058229133486748, 'learning_rate': 3.86444286728176e-05, 'epoch': 0.23}
{'loss': 0.461, 'grad_norm': 0.060839246958494186, 'learning_rate': 3.857345635202271e-05, 'epoch': 0.23}
{'loss': 0.4734, 'grad_norm': 0.06399303674697876, 'learning_rate': 3.8502484031227824e-05, 'epoch': 0.23}
{'loss': 0.451, 'grad_norm': 0.062239862978458405, 'learning_rate': 3.843151171043293e-05, 'epoch': 0.23}
{'loss': 0.4595, 'grad_norm': 0.05301413685083389, 'learning_rate': 3.836053938963804e-05, 'epoch': 0.23}
{'loss': 0.4658, 'grad_norm': 0.058938249945640564, 'learning_rate': 3.8289567068843155e-05, 'epoch': 0.23}
{'loss': 0.4758, 'grad_norm': 0.06083689257502556, 'learning_rate': 3.821859474804826e-05, 'epoch': 0.24}
{'loss': 0.464, 'grad_norm': 0.05674248933792114, 'learning_rate': 3.8147622427253374e-05, 'epoch': 0.24}
{'loss': 0.464, 'grad_norm': 0.05887686461210251, 'learning_rate': 3.8076650106458486e-05, 'epoch': 0.24}
{'loss': 0.4645, 'grad_norm': 0.06715782731771469, 'learning_rate': 3.800567778566359e-05, 'epoch': 0.24}
{'loss': 0.4412, 'grad_norm': 0.05221164599061012, 'learning_rate': 3.7934705464868705e-05, 'epoch': 0.24}
{'loss': 0.4126, 'grad_norm': 0.055936604738235474, 'learning_rate': 3.786373314407382e-05, 'epoch': 0.24}
{'loss': 0.4564, 'grad_norm': 0.04970229044556618, 'learning_rate': 3.7792760823278924e-05, 'epoch': 0.24}
{'loss': 0.4842, 'grad_norm': 0.05814080312848091, 'learning_rate': 3.7721788502484036e-05, 'epoch': 0.25}
{'loss': 0.4935, 'grad_norm': 0.053098708391189575, 'learning_rate': 3.765081618168914e-05, 'epoch': 0.25}
{'loss': 0.4803, 'grad_norm': 0.0558488704264164, 'learning_rate': 3.7579843860894255e-05, 'epoch': 0.25}
{'loss': 0.4379, 'grad_norm': 0.05136152729392052, 'learning_rate': 3.750887154009936e-05, 'epoch': 0.25}
{'loss': 0.469, 'grad_norm': 0.07825496047735214, 'learning_rate': 3.7437899219304474e-05, 'epoch': 0.25}
{'loss': 0.4497, 'grad_norm': 0.046309515833854675, 'learning_rate': 3.7366926898509586e-05, 'epoch': 0.25}
{'loss': 0.4758, 'grad_norm': 0.05160802975296974, 'learning_rate': 3.729595457771469e-05, 'epoch': 0.25}
{'loss': 0.4724, 'grad_norm': 0.059306658804416656, 'learning_rate': 3.7224982256919805e-05, 'epoch': 0.26}
{'loss': 0.4807, 'grad_norm': 0.061144959181547165, 'learning_rate': 3.715400993612491e-05, 'epoch': 0.26}
{'loss': 0.4476, 'grad_norm': 0.05409073829650879, 'learning_rate': 3.7083037615330024e-05, 'epoch': 0.26}
{'loss': 0.4472, 'grad_norm': 0.04741906374692917, 'learning_rate': 3.701206529453513e-05, 'epoch': 0.26}
{'loss': 0.4287, 'grad_norm': 0.05222710594534874, 'learning_rate': 3.694109297374024e-05, 'epoch': 0.26}
{'loss': 0.4187, 'grad_norm': 0.052567530423402786, 'learning_rate': 3.6870120652945355e-05, 'epoch': 0.26}
{'loss': 0.4563, 'grad_norm': 0.06622156500816345, 'learning_rate': 3.679914833215046e-05, 'epoch': 0.26}
{'loss': 0.4472, 'grad_norm': 0.05096226930618286, 'learning_rate': 3.6728176011355574e-05, 'epoch': 0.27}
{'loss': 0.4709, 'grad_norm': 0.062150739133358, 'learning_rate': 3.665720369056068e-05, 'epoch': 0.27}
{'loss': 0.4548, 'grad_norm': 0.06218152865767479, 'learning_rate': 3.658623136976579e-05, 'epoch': 0.27}
{'loss': 0.4851, 'grad_norm': 0.06327954679727554, 'learning_rate': 3.65152590489709e-05, 'epoch': 0.27}
{'loss': 0.4823, 'grad_norm': 0.05130394548177719, 'learning_rate': 3.644428672817601e-05, 'epoch': 0.27}
{'loss': 0.4681, 'grad_norm': 0.05254589766263962, 'learning_rate': 3.637331440738112e-05, 'epoch': 0.27}
{'loss': 0.4555, 'grad_norm': 0.054516855627298355, 'learning_rate': 3.630234208658623e-05, 'epoch': 0.27}
{'loss': 0.4552, 'grad_norm': 0.050696540623903275, 'learning_rate': 3.623136976579134e-05, 'epoch': 0.28}
{'loss': 0.4288, 'grad_norm': 0.0463845431804657, 'learning_rate': 3.6160397444996455e-05, 'epoch': 0.28}
{'loss': 0.4699, 'grad_norm': 0.04579857736825943, 'learning_rate': 3.608942512420156e-05, 'epoch': 0.28}
{'loss': 0.4478, 'grad_norm': 0.06048130989074707, 'learning_rate': 3.6018452803406674e-05, 'epoch': 0.28}
{'loss': 0.4603, 'grad_norm': 0.04741072654724121, 'learning_rate': 3.594748048261179e-05, 'epoch': 0.28}
{'loss': 0.472, 'grad_norm': 0.06129993125796318, 'learning_rate': 3.587650816181689e-05, 'epoch': 0.28}
{'loss': 0.4779, 'grad_norm': 0.04953592270612717, 'learning_rate': 3.5805535841022005e-05, 'epoch': 0.28}
{'loss': 0.4278, 'grad_norm': 0.05056137219071388, 'learning_rate': 3.573456352022712e-05, 'epoch': 0.29}
{'loss': 0.421, 'grad_norm': 0.0656716600060463, 'learning_rate': 3.5663591199432224e-05, 'epoch': 0.29}
{'loss': 0.4453, 'grad_norm': 0.07068103551864624, 'learning_rate': 3.559261887863734e-05, 'epoch': 0.29}
{'loss': 0.4647, 'grad_norm': 0.06272408366203308, 'learning_rate': 3.552164655784244e-05, 'epoch': 0.29}
{'loss': 0.4584, 'grad_norm': 0.06193135678768158, 'learning_rate': 3.5450674237047556e-05, 'epoch': 0.29}
{'loss': 0.4343, 'grad_norm': 0.05217066407203674, 'learning_rate': 3.537970191625266e-05, 'epoch': 0.29}
{'loss': 0.4405, 'grad_norm': 0.05185233801603317, 'learning_rate': 3.5308729595457774e-05, 'epoch': 0.29}
{'loss': 0.4408, 'grad_norm': 0.04990043863654137, 'learning_rate': 3.523775727466289e-05, 'epoch': 0.3}
